Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	
Accel_LN_Z	Accel_LN_Z	Accel_LN_Y	Accel_LN_Y	Timestamp	Timestamp	Accel_LN_X	Accel_LN_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	Ticks	ms	m/(s^2)	no_units	
2577.0	-6.385542168674699	2289.0	-24.289156626506024	737320.0	1046501.1596679688	-2.91566265060241	4063.0	
2517.0	-5.662650602409639	2267.0	-24.30120481927711	770088.0	1047501.1596679688	-2.6506024096385543	4064.0	
2510.0	-5.578313253012048	2235.0	-24.30120481927711	802856.0	1048501.1596679688	-2.2650602409638556	4064.0	
2529.0	-5.807228915662651	2237.0	-24.289156626506024	835624.0	1049501.1596679688	-2.289156626506024	4063.0	
2527.0	-5.783132530120482	2254.0	-24.30120481927711	868392.0	1050501.1596679688	-2.4939759036144578	4064.0	
2536.0	-5.891566265060241	2236.0	-24.30120481927711	901160.0	1051501.1596679688	-2.27710843373494	4064.0	
2549.0	-6.048192771084338	2226.0	-24.30120481927711	933928.0	1052501.1596679688	-2.1566265060240966	4064.0	
2720.0	-8.108433734939759	2405.0	-24.289156626506024	966696.0	1053501.1596679688	-4.313253012048193	4063.0	
2680.0	-7.626506024096386	2269.0	-24.30120481927711	999464.0	1054501.1596679688	-2.674698795180723	4064.0	
2107.0	-0.7228915662650602	2490.0	-24.289156626506024	1032232.0	1055501.1596679688	-5.337349397590362	4063.0	
2035.0	0.14457831325301207	2207.0	-24.289156626506024	1065000.0	1056501.1596679688	-1.927710843373494	4063.0	
1736.0	3.7469879518072293	3030.0	-24.289156626506024	1097768.0	1057501.1596679688	-11.843373493975903	4063.0	
2485.0	-5.27710843373494	2497.0	-24.289156626506024	1130536.0	1058501.1596679688	-5.421686746987952	4063.0	
2391.0	-4.144578313253012	2314.0	-24.289156626506024	1163304.0	1059501.1596679688	-3.216867469879518	4063.0	
2781.0	-8.843373493975903	2781.0	-24.289156626506024	1196072.0	1060501.1596679688	-8.843373493975903	4063.0	
2413.0	-4.409638554216868	2358.0	-24.30120481927711	1228840.0	1061501.1596679688	-3.7469879518072293	4064.0	
2185.0	-1.6626506024096386	2436.0	-24.30120481927711	1261608.0	1062501.1596679688	-4.686746987951808	4064.0	
2058.0	-0.13253012048192772	3250.0	-24.289156626506024	1294376.0	1063501.1596679688	-14.493975903614459	4063.0	
